2026-09-10T05:51:53Z | logs/manifest.json | all scenarios | all protocols | recorded size and SHA-256 metadata are stale for plots/summary.csv, plots-udp/summary.csv, and summary/kpi_forward.csv; current CSV metrics were independently reproduced from all 288 FlowMonitor XML files within rounding tolerance | none (manifest integrity metadata only)
2026-09-17T07:44:19.168000Z | logs/manifest.json | all scenarios | all protocols | historical docs/mock.py generated deterministic fixtures with preset performance bounds; legacy results are not native ns-3 output | throughput, delay, jitter, loss, Jain fairness
2026-09-17T07:44:19.168000Z | logs/real/comparison/intra_rack_10g_TcpSwift_s42.flowmonitor | intra_rack_10g | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/intra_rack_10g_TcpNewReno_s42.flowmonitor | intra_rack_10g | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/intra_rack_10g_TcpCubic_s42.flowmonitor | intra_rack_10g | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/intra_rack_10g_TcpBbr_s42.flowmonitor | intra_rack_10g | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/intra_rack_25g_TcpSwift_s42.flowmonitor | intra_rack_25g | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/intra_rack_25g_TcpNewReno_s42.flowmonitor | intra_rack_25g | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/intra_rack_25g_TcpCubic_s42.flowmonitor | intra_rack_25g | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/intra_rack_25g_TcpBbr_s42.flowmonitor | intra_rack_25g | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/leaf_spine_20g_TcpSwift_s42.flowmonitor | leaf_spine_20g | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/leaf_spine_20g_TcpNewReno_s42.flowmonitor | leaf_spine_20g | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/leaf_spine_20g_TcpCubic_s42.flowmonitor | leaf_spine_20g | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/leaf_spine_20g_TcpBbr_s42.flowmonitor | leaf_spine_20g | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/leaf_spine_50g_TcpSwift_s42.flowmonitor | leaf_spine_50g | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/leaf_spine_50g_TcpNewReno_s42.flowmonitor | leaf_spine_50g | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/leaf_spine_50g_TcpCubic_s42.flowmonitor | leaf_spine_50g | TcpCubic | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/leaf_spine_50g_TcpBbr_s42.flowmonitor | leaf_spine_50g | TcpBbr | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/oversub_4to1_10g_TcpSwift_s42.flowmonitor | oversub_4to1_10g | TcpSwift | missing native run for tcp_only, RngRun=42 | all metrics
2026-09-17T07:44:19.168000Z | logs/real/comparison/oversub_4to1_10g_TcpNewReno_s42.flowmonitor | oversub_4to1_10g | TcpNewReno | missing native run for tcp_only, RngRun=42 | all metrics
