Scenario,Protocol,Throughput (Mbps),Delay (ms),Jitter (ms),Loss (%)
asymmetric_high,TcpBbr,596.47,0.5627,0.0070,0.04
asymmetric_high,TcpCubic,598.12,0.5669,0.0069,0.04
asymmetric_high,TcpNewReno,573.59,0.5041,0.0028,0.03
asymmetric_high,TcpSwift,632.31,0.5562,0.0067,0.04
congested_heavy,TcpBbr,273.86,0.8552,0.0066,0.03
congested_heavy,TcpCubic,274.93,0.8565,0.0052,0.03
congested_heavy,TcpNewReno,268.88,0.8290,0.0104,0.03
congested_heavy,TcpSwift,283.51,0.8640,0.0064,0.03
congested_light,TcpBbr,2735.68,0.0838,0.0004,0.02
congested_light,TcpCubic,2956.12,0.1050,0.0002,0.04
congested_light,TcpNewReno,2788.08,0.0893,0.0010,0.03
congested_light,TcpSwift,3040.70,0.0865,0.0004,0.03
congested_medium,TcpBbr,1207.86,0.2446,0.0026,0.04
congested_medium,TcpCubic,1179.31,0.2390,0.0013,0.03
congested_medium,TcpNewReno,1144.61,0.2156,0.0021,0.03
congested_medium,TcpSwift,1240.68,0.2420,0.0020,0.03
cross_dc_wan,TcpBbr,590.07,5.4771,0.0316,0.02
cross_dc_wan,TcpCubic,614.83,5.5203,0.0215,0.04
cross_dc_wan,TcpNewReno,569.82,5.4860,0.0233,0.02
cross_dc_wan,TcpSwift,639.46,5.4707,0.0219,0.02
cross_pod_10g,TcpBbr,5871.54,0.1019,0.0004,0.02
cross_pod_10g,TcpCubic,5863.76,0.1022,0.0013,0.02
cross_pod_10g,TcpNewReno,5810.54,0.1045,0.0010,0.02
cross_pod_10g,TcpSwift,6126.72,0.1039,0.0010,0.02
cross_pod_20g,TcpBbr,11298.43,0.0771,0.0008,0.03
cross_pod_20g,TcpCubic,11395.26,0.0817,0.0008,0.03
cross_pod_20g,TcpNewReno,11329.53,0.0842,0.0008,0.02
cross_pod_20g,TcpSwift,11685.35,0.0788,0.0007,0.03
dc_100g,TcpBbr,61085.79,0.0086,0.0001,0.03
dc_100g,TcpCubic,61822.12,0.0091,0.0000,0.03
dc_100g,TcpNewReno,59644.84,0.0086,0.0000,0.02
dc_100g,TcpSwift,63228.20,0.0087,0.0000,0.03
dc_100m,TcpBbr,58.71,4.2290,0.0174,0.03
dc_100m,TcpCubic,60.20,4.8316,0.0530,0.02
dc_100m,TcpNewReno,57.64,4.3620,0.0518,0.02
dc_100m,TcpSwift,62.02,4.2242,0.0496,0.02
dc_500m,TcpBbr,285.43,0.8622,0.0080,0.03
dc_500m,TcpCubic,297.19,0.9568,0.0045,0.03
dc_500m,TcpNewReno,285.28,0.8901,0.0111,0.02
dc_500m,TcpSwift,311.80,0.9077,0.0073,0.02
dc_oversub_10to1,TcpBbr,603.24,0.4781,0.0045,0.03
dc_oversub_10to1,TcpCubic,587.87,0.4663,0.0054,0.03
dc_oversub_10to1,TcpNewReno,589.30,0.4610,0.0022,0.02
