Scenario,Protocol,Throughput (Mbps),Delay (ms),Jitter (ms),Loss (%)
asymmetric_high,TcpBbr,817.00,0.4203,0.0036,0.02
asymmetric_high,TcpCubic,839.73,0.4682,0.0052,0.02
asymmetric_high,TcpNewReno,798.60,0.4292,0.0019,0.01
asymmetric_high,TcpSwift,878.61,0.4194,0.0034,0.02
congested_heavy,TcpBbr,429.63,0.9892,0.0085,0.02
congested_heavy,TcpCubic,430.34,1.0058,0.0071,0.02
congested_heavy,TcpNewReno,406.84,0.8742,0.0093,0.02
congested_heavy,TcpSwift,454.47,0.9561,0.0081,0.01
congested_light,TcpBbr,4405.18,0.1013,0.0008,0.02
congested_light,TcpCubic,4432.50,0.1032,0.0004,0.02
congested_light,TcpNewReno,4287.31,0.0992,0.0011,0.02
congested_light,TcpSwift,4674.12,0.1021,0.0008,0.02
congested_medium,TcpBbr,1667.05,0.2017,0.0020,0.01
congested_medium,TcpCubic,1721.89,0.2382,0.0027,0.01
congested_medium,TcpNewReno,1622.57,0.2006,0.0008,0.01
congested_medium,TcpSwift,1762.10,0.2009,0.0019,0.01
cross_dc_wan,TcpBbr,856.12,5.2814,0.0280,0.02
cross_dc_wan,TcpCubic,826.76,5.4350,0.0459,0.01
cross_dc_wan,TcpNewReno,823.45,5.7355,0.0475,0.01
cross_dc_wan,TcpSwift,874.64,5.4327,0.0418,0.01
cross_pod_10g,TcpBbr,8865.00,0.1090,0.0006,0.02
cross_pod_10g,TcpCubic,8865.00,0.1065,0.0005,0.02
cross_pod_10g,TcpNewReno,8518.90,0.1057,0.0012,0.02
cross_pod_10g,TcpSwift,9375.52,0.1067,0.0006,0.02
cross_pod_20g,TcpBbr,17730.00,0.0841,0.0010,0.02
cross_pod_20g,TcpCubic,17730.00,0.0839,0.0003,0.02
cross_pod_20g,TcpNewReno,17104.84,0.0860,0.0011,0.02
cross_pod_20g,TcpSwift,18518.03,0.0851,0.0011,0.02
dc_100g,TcpBbr,85182.71,0.0079,0.0000,0.01
dc_100g,TcpCubic,85660.71,0.0081,0.0001,0.02
dc_100g,TcpNewReno,82343.44,0.0079,0.0001,0.01
dc_100g,TcpSwift,89305.06,0.0079,0.0001,0.01
dc_100m,TcpBbr,81.10,3.8845,0.0348,0.01
