Scenario,Protocol,Throughput (Mbps),Delay (ms),Jitter (ms),Loss (%)
congested_heavy,TcpBbr,26.56,0.1987,0.0084,0.00
congested_heavy,TcpCubic,383.53,6.5009,0.0930,0.00
congested_heavy,TcpNewReno,383.53,7.0757,0.0939,0.00
congested_heavy,TcpSwift,347.78,0.3878,0.0243,0.00
dc_100m,TcpBbr,6.08,1.3876,0.0487,0.00
dc_100m,TcpCubic,75.97,15.0220,0.4700,0.00
dc_100m,TcpNewReno,74.91,14.8749,0.3795,0.00
dc_100m,TcpSwift,69.79,1.9671,0.1241,0.00
lte_poor,TcpBbr,7.44,289.2414,1.2964,0.00
lte_poor,TcpCubic,7.19,202.4904,2.6986,0.00
lte_poor,TcpNewReno,6.96,153.8106,2.2159,0.00
lte_poor,TcpSwift,6.99,162.8450,2.9872,0.00
satellite_geo,TcpBbr,6.07,844.5589,1.8711,0.00
satellite_geo,TcpCubic,5.27,423.0578,2.7327,0.00
satellite_geo,TcpNewReno,4.59,379.1658,2.4715,0.00
satellite_geo,TcpSwift,6.59,633.9983,3.9648,0.00
symmetric_low,TcpBbr,418.60,0.0760,0.0027,0.00
symmetric_low,TcpCubic,953.47,5.8960,0.0355,0.00
symmetric_low,TcpNewReno,953.47,16.6744,0.0372,0.00
symmetric_low,TcpSwift,903.94,0.1102,0.0121,0.00
wan_longhaul,TcpBbr,736.94,78.8580,0.0115,2.11
wan_longhaul,TcpCubic,721.10,31.0096,0.0254,0.08
wan_longhaul,TcpNewReno,598.49,28.8054,0.0156,0.18
wan_longhaul,TcpSwift,736.10,39.7903,0.0469,0.00
wan_metro,TcpBbr,715.37,5.4999,0.0062,0.00
wan_metro,TcpCubic,800.25,6.6831,0.0445,0.00
wan_metro,TcpNewReno,798.85,6.8738,0.0440,0.00
wan_metro,TcpSwift,775.77,3.4338,0.0269,0.00
wifi_n,TcpBbr,38.00,76.0269,0.1679,0.00
wifi_n,TcpCubic,37.50,38.1438,0.4548,0.00
wifi_n,TcpNewReno,35.82,37.7198,0.4234,0.00
wifi_n,TcpSwift,34.15,31.8209,0.4328,0.00
