Scenario,Protocol,Throughput (Mbps),Delay (ms),Jitter (ms),Loss (%)
congested_heavy,TcpBbr,242.83,0.1566,0.0088,0.00
congested_heavy,TcpCubic,499.33,6.6758,0.0714,0.00
congested_heavy,TcpNewReno,499.33,6.8914,0.0720,0.00
congested_heavy,TcpSwift,499.33,0.2636,0.0239,0.00
dc_100g,TcpNewReno,99461.78,0.9986,0.0003,0.02
dc_100m,TcpBbr,49.07,1.2180,0.0534,0.00
dc_100m,TcpCubic,99.87,15.7370,0.3559,0.00
dc_100m,TcpNewReno,99.87,15.6259,0.2795,0.00
dc_100m,TcpSwift,99.87,1.3536,0.1196,0.00
lte_poor,TcpBbr,9.59,232.2672,0.6837,0.00
lte_poor,TcpCubic,9.77,191.0357,1.7050,0.00
lte_poor,TcpNewReno,9.73,173.0268,1.4542,0.00
lte_poor,TcpSwift,9.80,157.2071,1.4987,0.00
satellite_geo,TcpBbr,7.75,875.4216,1.4852,0.00
satellite_geo,TcpCubic,8.43,429.4056,1.8874,0.00
satellite_geo,TcpNewReno,7.50,352.0079,1.5317,0.00
satellite_geo,TcpSwift,8.70,546.9179,3.1679,0.00
symmetric_low,TcpBbr,583.93,0.0704,0.0027,0.00
symmetric_low,TcpCubic,998.54,6.0833,0.0338,0.00
symmetric_low,TcpNewReno,998.54,16.5707,0.0355,0.00
symmetric_low,TcpSwift,950.33,0.1030,0.0120,0.00
wan_longhaul,TcpBbr,961.40,62.7912,0.0044,0.52
wan_longhaul,TcpCubic,968.01,30.6824,0.0250,0.00
wan_longhaul,TcpNewReno,811.32,27.2858,0.0129,0.00
wan_longhaul,TcpSwift,963.64,39.2099,0.0362,0.00
wan_metro,TcpBbr,957.74,5.3072,0.0024,0.00
wan_metro,TcpCubic,997.16,7.1737,0.0357,0.00
wan_metro,TcpNewReno,996.59,6.9527,0.0350,0.00
wan_metro,TcpSwift,995.98,4.0334,0.0252,0.00
wifi_n,TcpBbr,49.00,52.5559,0.0818,0.00
wifi_n,TcpCubic,49.64,40.1111,0.4045,0.00
wifi_n,TcpNewReno,49.56,37.9924,0.3384,0.00
wifi_n,TcpSwift,49.66,35.4672,0.2746,0.00
