Setting,Scenario,Protocol,Runs,Goodput_Mbps_Mean,Goodput_Mbps_CI95,Delay_ms_Mean,Delay_ms_CI95,Loss_pct_Mean,Loss_pct_CI95,Jitter_ms_Mean,Jain_Mean,Util_Mean
tcp_only,congested_heavy,TcpBbr,3,242.829760,2.627308,0.156630,0.013785,0.000000,0.000000,0.008761,0.686726,0.485660
tcp_only,congested_heavy,TcpCubic,3,499.330165,0.000000,6.675781,0.000000,0.000000,0.000000,0.071418,0.999964,0.998660
tcp_only,congested_heavy,TcpNewReno,3,499.330165,0.000000,6.891442,0.000000,0.000000,0.000000,0.071996,0.999966,0.998660
tcp_only,congested_heavy,TcpSwift,3,499.330165,0.000000,0.263583,0.000000,0.000000,0.000000,0.023906,0.999973,0.998660
tcp_only,dc_100m,TcpBbr,3,49.068715,0.314011,1.217975,0.673486,0.000000,0.000000,0.053373,0.899455,0.490687
tcp_only,dc_100m,TcpCubic,3,99.865794,0.000000,15.737008,0.000000,0.000000,0.000000,0.355948,0.999949,0.998658
tcp_only,dc_100m,TcpNewReno,3,99.865794,0.000000,15.625946,0.000000,0.000000,0.000000,0.279480,0.999908,0.998658
tcp_only,dc_100m,TcpSwift,3,99.865794,0.000000,1.353579,0.000000,0.000000,0.000000,0.119559,0.999974,0.998658
tcp_only,lte_poor,TcpBbr,3,9.586399,0.013074,232.267154,47.450893,0.000000,0.000000,0.683652,0.999842,0.958640
tcp_only,lte_poor,TcpCubic,3,9.772437,0.000000,191.035730,0.000000,0.000000,0.000000,1.705015,0.969402,0.977244
tcp_only,lte_poor,TcpNewReno,3,9.729147,0.000000,173.026805,0.000000,0.000000,0.000000,1.454171,0.982628,0.972915
tcp_only,lte_poor,TcpSwift,3,9.798388,0.000000,157.207052,0.000000,0.000000,0.000000,1.498690,0.922700,0.979839
tcp_only,satellite_geo,TcpBbr,3,7.752603,0.000000,875.421601,8.409501,0.000000,0.000000,1.485187,0.999810,0.775260
tcp_only,satellite_geo,TcpCubic,3,8.432215,0.000000,429.405623,0.000000,0.000000,0.000000,1.887435,0.912603,0.843222
tcp_only,satellite_geo,TcpNewReno,3,7.497922,0.000000,352.007934,0.000000,0.000000,0.000000,1.531657,0.958732,0.749792
tcp_only,satellite_geo,TcpSwift,3,8.696393,0.000000,546.917918,0.000000,0.000000,0.000000,3.167855,0.995566,0.869639
tcp_only,wan_longhaul,TcpBbr,3,961.397785,13.918775,62.791154,11.228548,0.516001,0.005164,0.004350,0.997817,0.961398
tcp_only,wan_longhaul,TcpCubic,3,968.008599,0.000000,30.682391,0.000000,0.000000,0.000000,0.025032,0.999336,0.968009
tcp_only,wan_longhaul,TcpNewReno,3,811.316731,0.000000,27.285774,0.000000,0.000000,0.000000,0.012858,0.946461,0.811317
tcp_only,wan_longhaul,TcpSwift,3,963.636750,0.000000,39.209944,0.000000,0.000000,0.000000,0.036232,0.999952,0.963637
tcp_only,wan_metro,TcpBbr,3,957.737742,5.835142,5.307234,0.287213,0.000000,0.000000,0.002409,0.735879,0.957738
tcp_only,wan_metro,TcpCubic,3,997.159671,0.000000,7.173687,0.000000,0.000000,0.000000,0.035726,0.999970,0.997160
tcp_only,wan_metro,TcpNewReno,3,996.592679,0.000000,6.952710,0.000000,0.000000,0.000000,0.035002,0.999969,0.996593
tcp_only,wan_metro,TcpSwift,3,995.979001,0.000000,4.033440,0.000000,0.000000,0.000000,0.025161,0.888717,0.995979
tcp_only,wifi_n,TcpBbr,3,48.999876,0.112965,52.555940,1.426164,0.000000,0.000000,0.081773,0.999922,0.979998
tcp_only,wifi_n,TcpCubic,3,49.644457,0.000000,40.111137,0.000000,0.000000,0.000000,0.404488,0.999398,0.992889
tcp_only,wifi_n,TcpNewReno,3,49.563747,0.000000,37.992404,0.000000,0.000000,0.000000,0.338374,0.997906,0.991275
tcp_only,wifi_n,TcpSwift,3,49.663782,0.000000,35.467186,0.000000,0.000000,0.000000,0.274594,0.602309,0.993276
