Setting,Scenario,Protocol,Seed,Goodput_Mbps,Util,Delay_ms,Jitter_ms,Loss_pct,Jain,Source
tcp_only,congested_heavy,TcpBbr,42,244.027614,0.488055,0.161632,0.008555,0.000000,0.689644,comparison/congested_heavy_TcpBbr_s42.flowmonitor
tcp_only,congested_heavy,TcpBbr,43,242.436428,0.484873,0.157596,0.009266,0.000000,0.688188,comparison/congested_heavy_TcpBbr_s43.flowmonitor
tcp_only,congested_heavy,TcpBbr,44,242.025239,0.484050,0.150662,0.008464,0.000000,0.682344,comparison/congested_heavy_TcpBbr_s44.flowmonitor
tcp_only,congested_heavy,TcpCubic,42,499.330165,0.998660,6.675781,0.071418,0.000000,0.999964,comparison/congested_heavy_TcpCubic_s42.flowmonitor
tcp_only,congested_heavy,TcpCubic,43,499.330165,0.998660,6.675781,0.071418,0.000000,0.999964,comparison/congested_heavy_TcpCubic_s43.flowmonitor
tcp_only,congested_heavy,TcpCubic,44,499.330165,0.998660,6.675781,0.071418,0.000000,0.999964,comparison/congested_heavy_TcpCubic_s44.flowmonitor
tcp_only,congested_heavy,TcpNewReno,42,499.330165,0.998660,6.891442,0.071996,0.000000,0.999966,comparison/congested_heavy_TcpNewReno_s42.flowmonitor
tcp_only,congested_heavy,TcpNewReno,43,499.330165,0.998660,6.891442,0.071996,0.000000,0.999966,comparison/congested_heavy_TcpNewReno_s43.flowmonitor
tcp_only,congested_heavy,TcpNewReno,44,499.330165,0.998660,6.891442,0.071996,0.000000,0.999966,comparison/congested_heavy_TcpNewReno_s44.flowmonitor
tcp_only,congested_heavy,TcpSwift,42,499.330165,0.998660,0.263583,0.023906,0.000000,0.999973,comparison/congested_heavy_TcpSwift_s42.flowmonitor
tcp_only,congested_heavy,TcpSwift,43,499.330165,0.998660,0.263583,0.023906,0.000000,0.999973,comparison/congested_heavy_TcpSwift_s43.flowmonitor
tcp_only,congested_heavy,TcpSwift,44,499.330165,0.998660,0.263583,0.023906,0.000000,0.999973,comparison/congested_heavy_TcpSwift_s44.flowmonitor
tcp_only,dc_100m,TcpBbr,42,49.144868,0.491449,1.372327,0.056258,0.000000,0.999957,comparison/dc_100m_TcpBbr_s42.flowmonitor
tcp_only,dc_100m,TcpBbr,43,48.922812,0.489228,0.904954,0.050295,0.000000,0.698417,comparison/dc_100m_TcpBbr_s43.flowmonitor
tcp_only,dc_100m,TcpBbr,44,49.138465,0.491385,1.376643,0.053566,0.000000,0.999992,comparison/dc_100m_TcpBbr_s44.flowmonitor
tcp_only,dc_100m,TcpCubic,42,99.865794,0.998658,15.737008,0.355948,0.000000,0.999949,comparison/dc_100m_TcpCubic_s42.flowmonitor
