Setting,Scenario,Protocol,BottleneckMbps,BaseOwdMs,Flows,SinkPort,Goodput_Mbps,Util,Delay_ms,Jitter_ms,Loss_pct,Jain,Source
tcp_only,asymmetric_high,TcpBbr,1000.0,0.012,3,49153/5000,812.91,0.8129,0.4203,0.0036,0.0157,0.9997,comparison/asymmetric_high_TcpBbr.flowmonitor
tcp_only,asymmetric_high,TcpCubic,1000.0,0.012,3,49153/5000,835.38,0.8354,0.4682,0.0052,0.0174,0.9963,comparison/asymmetric_high_TcpCubic.flowmonitor
tcp_only,asymmetric_high,TcpNewReno,1000.0,0.012,3,49153/5000,794.46,0.7945,0.4292,0.0019,0.0114,0.9979,comparison/asymmetric_high_TcpNewReno.flowmonitor
tcp_only,asymmetric_high,TcpSwift,1000.0,0.012,3,49153/5000,874.1,0.8741,0.4194,0.0034,0.0167,0.9985,comparison/asymmetric_high_TcpSwift.flowmonitor
tcp_only,congested_heavy,TcpBbr,500.0,0.009,3,49153/5000,427.52,0.855,0.9892,0.0085,0.0208,0.9888,comparison/congested_heavy_TcpBbr.flowmonitor
tcp_only,congested_heavy,TcpCubic,500.0,0.009,3,49153/5000,428.25,0.8565,1.0058,0.0071,0.0162,0.9937,comparison/congested_heavy_TcpCubic.flowmonitor
tcp_only,congested_heavy,TcpNewReno,500.0,0.009,3,49153/5000,404.8,0.8096,0.8742,0.0093,0.0151,0.9987,comparison/congested_heavy_TcpNewReno.flowmonitor
tcp_only,congested_heavy,TcpSwift,500.0,0.009,3,49153/5000,452.22,0.9044,0.9561,0.0081,0.0149,0.999,comparison/congested_heavy_TcpSwift.flowmonitor
tcp_only,congested_light,TcpBbr,5000.0,0.009,3,49153/5000,4382.42,0.8765,0.1013,0.0008,0.022,0.9982,comparison/congested_light_TcpBbr.flowmonitor
tcp_only,congested_light,TcpCubic,5000.0,0.009,3,49153/5000,4410.27,0.8821,0.1032,0.0004,0.019,1.0,comparison/congested_light_TcpCubic.flowmonitor
tcp_only,congested_light,TcpNewReno,5000.0,0.009,3,49153/5000,4266.54,0.8533,0.0992,0.0011,0.0156,0.9985,comparison/congested_light_TcpNewReno.flowmonitor
tcp_only,congested_light,TcpSwift,5000.0,0.009,3,49153/5000,4650.22,0.93,0.1021,0.0008,0.0194,0.9984,comparison/congested_light_TcpSwift.flowmonitor
