Scenario,Protocol,Type,AccessBW,BottleneckBW,Seeds,Throughput_Mbps,LossRate_Pct
asymmetric_high,TcpBbr,tcp,50Gbps,1Gbps,1,817.0042,0.015728
asymmetric_high,TcpBbr,udp,50Gbps,1Gbps,1,596.4653,0.041975
asymmetric_high,TcpCubic,tcp,50Gbps,1Gbps,1,839.7290,0.017359
asymmetric_high,TcpCubic,udp,50Gbps,1Gbps,1,598.1198,0.043148
asymmetric_high,TcpNewReno,tcp,50Gbps,1Gbps,1,798.6014,0.011400
asymmetric_high,TcpNewReno,udp,50Gbps,1Gbps,1,573.5882,0.032144
asymmetric_high,TcpSwift,tcp,50Gbps,1Gbps,1,878.6058,0.016726
asymmetric_high,TcpSwift,udp,50Gbps,1Gbps,1,632.3134,0.043452
congested_heavy,TcpBbr,tcp,10Gbps,500Mbps,1,429.6347,0.020767
congested_heavy,TcpBbr,udp,10Gbps,500Mbps,1,273.8573,0.026283
congested_heavy,TcpCubic,tcp,10Gbps,500Mbps,1,430.3430,0.016171
congested_heavy,TcpCubic,udp,10Gbps,500Mbps,1,274.9303,0.031586
congested_heavy,TcpNewReno,tcp,10Gbps,500Mbps,1,406.8374,0.015061
congested_heavy,TcpNewReno,udp,10Gbps,500Mbps,1,268.8790,0.026098
congested_heavy,TcpSwift,tcp,10Gbps,500Mbps,1,454.4714,0.014921
congested_heavy,TcpSwift,udp,10Gbps,500Mbps,1,283.5124,0.025388
congested_light,TcpBbr,tcp,10Gbps,5Gbps,1,4405.1819,0.021987
congested_light,TcpBbr,udp,10Gbps,5Gbps,1,2735.6810,0.023611
congested_light,TcpCubic,tcp,10Gbps,5Gbps,1,4432.4997,0.018977
congested_light,TcpCubic,udp,10Gbps,5Gbps,1,2956.1153,0.039596
congested_light,TcpNewReno,tcp,10Gbps,5Gbps,1,4287.3101,0.015621
congested_light,TcpNewReno,udp,10Gbps,5Gbps,1,2788.0792,0.028567
congested_light,TcpSwift,tcp,10Gbps,5Gbps,1,4674.1157,0.019423
congested_light,TcpSwift,udp,10Gbps,5Gbps,1,3040.7033,0.028367
congested_medium,TcpBbr,tcp,10Gbps,2Gbps,1,1667.0493,0.011921
congested_medium,TcpBbr,udp,10Gbps,2Gbps,1,1207.8600,0.035407
congested_medium,TcpCubic,tcp,10Gbps,2Gbps,1,1721.8904,0.012093
congested_medium,TcpCubic,udp,10Gbps,2Gbps,1,1179.3056,0.030412
congested_medium,TcpNewReno,tcp,10Gbps,2Gbps,1,1622.5716,0.008470
congested_medium,TcpNewReno,udp,10Gbps,2Gbps,1,1144.6104,0.028220
congested_medium,TcpSwift,tcp,10Gbps,2Gbps,1,1762.1025,0.010770
congested_medium,TcpSwift,udp,10Gbps,2Gbps,1,1240.6782,0.033749
cross_dc_wan,TcpBbr,tcp,10Gbps,1Gbps,1,856.1228,0.018899
cross_dc_wan,TcpBbr,udp,10Gbps,1Gbps,1,590.0717,0.024500
cross_dc_wan,TcpCubic,tcp,10Gbps,1Gbps,1,826.7647,0.014675
cross_dc_wan,TcpCubic,udp,10Gbps,1Gbps,1,614.8291,0.038605
cross_dc_wan,TcpNewReno,tcp,10Gbps,1Gbps,1,823.4461,0.011200
cross_dc_wan,TcpNewReno,udp,10Gbps,1Gbps,1,569.8212,0.023383
cross_dc_wan,TcpSwift,tcp,10Gbps,1Gbps,1,874.6370,0.014827
cross_dc_wan,TcpSwift,udp,10Gbps,1Gbps,1,639.4578,0.020470
cross_pod_10g,TcpBbr,tcp,25Gbps,10Gbps,1,8864.9994,0.017526
cross_pod_10g,TcpBbr,udp,25Gbps,10Gbps,1,5871.5435,0.020698
cross_pod_10g,TcpCubic,tcp,25Gbps,10Gbps,1,8864.9996,0.022253
cross_pod_10g,TcpCubic,udp,25Gbps,10Gbps,1,5863.7616,0.024530
cross_pod_10g,TcpNewReno,tcp,25Gbps,10Gbps,1,8518.8997,0.015718
cross_pod_10g,TcpNewReno,udp,25Gbps,10Gbps,1,5810.5431,0.022469
cross_pod_10g,TcpSwift,tcp,25Gbps,10Gbps,1,9375.5218,0.015903
cross_pod_10g,TcpSwift,udp,25Gbps,10Gbps,1,6126.7222,0.021348
cross_pod_20g,TcpBbr,tcp,50Gbps,20Gbps,1,17730.0000,0.020259
cross_pod_20g,TcpBbr,udp,50Gbps,20Gbps,1,11298.4251,0.026091
cross_pod_20g,TcpCubic,tcp,50Gbps,20Gbps,1,17729.9998,0.020508
cross_pod_20g,TcpCubic,udp,50Gbps,20Gbps,1,11395.2582,0.028559
cross_pod_20g,TcpNewReno,tcp,50Gbps,20Gbps,1,17104.8424,0.017336
cross_pod_20g,TcpNewReno,udp,50Gbps,20Gbps,1,11329.5282,0.017522
cross_pod_20g,TcpSwift,tcp,50Gbps,20Gbps,1,18518.0276,0.018228
cross_pod_20g,TcpSwift,udp,50Gbps,20Gbps,1,11685.3525,0.026963
dc_100g,TcpBbr,tcp,100Gbps,100Gbps,1,85182.7116,0.011857
dc_100g,TcpBbr,udp,100Gbps,100Gbps,1,61085.7929,0.029580
dc_100g,TcpCubic,tcp,100Gbps,100Gbps,1,85660.7111,0.015673
dc_100g,TcpCubic,udp,100Gbps,100Gbps,1,61822.1203,0.028762
dc_100g,TcpNewReno,tcp,100Gbps,100Gbps,1,82343.4449,0.010686
dc_100g,TcpNewReno,udp,100Gbps,100Gbps,1,59644.8443,0.021236
